Date,link,title,Gender-Loose,Gender-Tight,description
6/9/08,http://www.missedinhistory.com/podcasts/did-genghis-khan-really-kill-1748000-people-in-one-hour/,"Did Genghis Khan really kill 1,748,000 people in one hour?",M,M,Genghis Khan has more death attributed to him than any other person in history. Learn about Genghis Kahn and the siege Genghis Khan conducted on Nishapur.
6/25/08,http://www.missedinhistory.com/podcasts/was-a-hungarian-countess-the-worlds-most-prolific-serial-killer/,The Elizabeth Bathory Episode: Was a Hungarian countess the worldâ€™s most prolific serial killer?,F,F,"Prolific serial killers are reigned in by some specific parameters. Learn more about Elizabeth Bathory and why she was known as ""Bloody Mary""."
6/27/08,http://www.missedinhistory.com/podcasts/fact-or-fiction-is-d-b-cooper-still-alive/,Fact or Fiction: Is D.B. Cooper still alive?,M,M,"The D.B. Cooper mystery involves the case of Northwest Airlines Flight 305, which was hijacked by a lone man. Learn more about the D.B. Cooper mystery."
6/30/08,http://www.missedinhistory.com/podcasts/ergot-and-the-salem-witchtrials/,Ergot and the Salem Witchtrials,F,N,"Some researchers allege that ergot poisoning may have been responsible for triggering the Salem witchcraft trials -- but is this fact, or fiction? Learn more about ergot and the Salem witch trials in this HowStuffWorks podcast."
7/2/08,http://www.missedinhistory.com/podcasts/the-cursed-tomb-of-king-tut/,The Cursed Tomb of King Tut,M,N,"An inscription above King Tutankhamen's burial chamber reads: 'Death will come on swift pinions to those who disturb the rest of the Pharaoh.' This was known as the mummy's curse -- but was it fact, or fiction? Check out this HowStuffWorks podcast to lear"
7/7/08,http://www.missedinhistory.com/podcasts/what-was-in-peter-the-greats-cabinet-of-curiosities/,What was in Peter the Greatâ€™s cabinet of curiosities?,M,M,Peter the Great was a feared leader but also an intellectual. Learn about Peter the Great and Peter the Great's love of academia and collectibles in this podcast from HowStuffWorks.com!
7/9/08,http://www.missedinhistory.com/podcasts/how-the-first-olympics-worked/,How the First Olympics Worked,M,M,The first Olympics took place in the sixth century in order to build diplomacy across the Greek world. Learn more about the history of the first Olympics in this HowStuffWorks.com podcast.
7/14/08,http://www.missedinhistory.com/podcasts/what-was-the-christmas-truce/,What was the Christmas Truce?,M,M,"Amid the bloodshed of World War I, the Pope pled for a truce on Christmas Day. The commanding powers refused the truce, but soldiers across Europe crossed battle lines to spend Christmas the enemy. Check out our HowStuffWorks article to learn more."
7/16/08,http://www.missedinhistory.com/podcasts/why-was-davy-crockett-king-of-the-wild-frontier/,Why was Davy Crockett king of the wild frontier?,M,M,"Davy Crockett is one of America's great real-life legends. With a little help from Walt Disney, Crockett experienced a resurgence in popularity more than 100 years after his death. Check out our HowStuffWorks article to learn if this is fact or fiction."
7/21/08,http://www.missedinhistory.com/podcasts/did-nero-really-play-the-fiddle-while-rome-burned/,Did Nero really play the fiddle while Rome burned?,M,M,"In A.D. 64, a great fire consumed Rome for six days and seven nights. Some rumors speculated that Nero set the fire, and even played a fiddle as the city burned. Check out our HowStuffWorks article to learn if this is fact or fiction."
